;;;;;;;;;;;;;;;;;;;;;;;;;
EXAMPLE DATA (Raw data from initial inventory);;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
#;Description;Content summary;Storage details;Storage location;Link To photo;;;;;;;;;;;;;;;;;;;;
2;Kyp‰ri‰;Sotilaskyp‰r‰ x 6 musta, large;Varastolaatikko;;https://schoolphotosbucket.s3.eu-north-1.amazonaws.com/Kyparia-6L.png;https://unelmacloud.com/drive/s/YESWrbg1lkvqBwX62UJONyvl7Pr1UH;;;;;;;;;;;;;;;;;;;
3;Kyp‰ri‰;Sotilaskyp‰r‰ x 6 musta, 3 x large, 3 x medium;Varastolaatikko;Varastohyllyt, sis‰‰nk‰ynnin puolella;https://schoolphotosbucket.s3.eu-north-1.amazonaws.com/Kypa%CC%88ria%CC%88-3L%2C3M.png;;;;;;;;;;;;;;;;;;;;
4;Kyp‰ri‰;Sotilaskyp‰r‰ x 6 musta, small + pehmusteita;Varastolaatikko;Varastohyllyt, sis‰‰nk‰ynnin puolella;https://schoolphotosbucket.s3.eu-north-1.amazonaws.com/Kypa%CC%88ria%CC%88-Sotilaskypa%CC%88ra%CC%88+x+6+musta%2Cpehmusteita.png;;;;;;;;;;;;;;;;;;;;
5;Taisteluliivej‰ (IKEA-kassi);Taisteluliivi x 5, musta (uusi malli), EL-nauhoilla;Varastolaatikko;Varastohyllyt, sis‰‰nk‰ynnin puolella;https://schoolphotosbucket.s3.eu-north-1.amazonaws.com/Taisteluliiveja%CC%88+(IKEA-kassi).webp;;;;;;;;;;;;;;;;;;;;
6;Taisteluliivej‰ (IKEA-kassi);Taisteluliivi x 5, musta (vanha malli) + taisteluliivi x 3, musta (kevyt), EL-nauhoilla;Varastolaatikko;Varastohyllyt, sis‰‰nk‰ynnin puolella;https://schoolphotosbucket.s3.eu-north-1.amazonaws.com/Taisteluliiveja%CC%88+(IKEA-kassi).webp;;;;;;;;;;;;;;;;;;;;
7;Taisteluliivej‰ (IKEA-kassi);Taisteluliivi x 5, musta (uusi malli), EL-nauhoilla;Varastolaatikko;;https://schoolphotosbucket.s3.eu-north-1.amazonaws.com/Taisteluliiveja%CC%88+(IKEA-kassi).webp;;;;;;;;;;;;;;;;;;;;
8;Suojalaseja/-maskeja + varusteita;Suojalasit/-maski x 17, EL-nauhaa (2x3m, 3x2m), Molle-kiinnitteinen k‰nnykk‰pidike;Varastolaatikko;Etuvaraston per‰ll‰, musta laatikko;https://schoolphotosbucket.s3.eu-north-1.amazonaws.com/Suojalaseja%3A-maskeja+%2B+varusteita.png;;;;;;;;;;;;;;;;;;;;
9;H‰vitt‰jien konsolit;2 x h‰vitt‰j‰n Helms-konsoli, 2 x h‰vitt‰j‰n Weapons-konsoli;Varastolaatikko;;https://schoolphotosbucket.s3.eu-north-1.amazonaws.com/Ha%CC%88vitta%CC%88jien+konsolit.png;;;;;;;;;;;;;;;;;;;;
10;Starcallerin konsolit;Starcallerin Helms- ja Weapons-konsolit;Varastolaatikko;;https://schoolphotosbucket.s3.eu-north-1.amazonaws.com/Starcallerin+konsolit.png;;;;;;;;;;;;;;;;;;;;
11;Bridgen konsolit;7x bridge konsoleita;Varastolaatikko;;https://schoolphotosbucket.s3.eu-north-1.amazonaws.com/Bridgen+konsolit.png;;;;;;;;;;;;;;;;;;;;
12;Vaahtosammuttimet;12x vaahtosammutinta, sammutuspeite;Varastolaatikko;Etuvaraston per‰ll‰, musta laatikko;https://schoolphotosbucket.s3.eu-north-1.amazonaws.com/Vaahtosammuttimet.png;;;;;;;;;;;;;;;;;;;;
13;Esirippu;Tummansininen esirippu mustalla kuvioinnilla;Varastolaatikko;Takavaraston ikkunasein‰ll‰;https://schoolphotosbucket.s3.eu-north-1.amazonaws.com/Esirippu.png;;;;;;;;;;;;;;;;;;;;
14;Medical supplies;Medbay supplies / wooden crate,Bedding, curtains, meds, instruments, manuals papers;Varastolaatikko;Keskialue, alla;https://schoolphotosbucket.s3.eu-north-1.amazonaws.com/Medbay+supplies+%3A+wooden+crate%2CBedding%2C+curtains%2C+meds%2C+instruments%2C+manuals+papers.png;;;;;;;;;;;;;;;;;;;;
15;Medical supplies;Medbay supplies / wooden crate,Splints bandages;Varastolaatikko;Keskialue, alla;https://schoolphotosbucket.s3.eu-north-1.amazonaws.com/Medbay+supplies+%3A+wooden+crate%2CSplints+bandages.png;;;;;;;;;;;;;;;;;;;;
16;Medical supplies;Medbay supplies / wooden crate, IV fluids, robes;Varastolaatikko;Keskialue, alla;https://schoolphotosbucket.s3.eu-north-1.amazonaws.com/Medbay+supplies+%3A+wooden+crate%2C+IV+fluids%2C+robes.png;;;;;;;;;;;;;;;;;;;;
17;Medical supplies;Medbay supplies / wooden crate;Varastolaatikko;;https://schoolphotosbucket.s3.eu-north-1.amazonaws.com/Medbay+supplies+%3A+wooden+crate.png;;;;;;;;;;;;;;;;;;;;
18;Medical supplies;Medbay supplies / bandages;Varastolaatikko;Keskialue, sis‰‰nk‰ynnin luona;https://schoolphotosbucket.s3.eu-north-1.amazonaws.com/Medbay+supplies+%3A+bandages.png;;;;;;;;;;;;;;;;;;;;
19;Medical supplies;Medbay supplies / bandages / 2kpl tyynyj‰;Varastolaatikko;Keskialue, sis‰‰nk‰ynnin luona;https://schoolphotosbucket.s3.eu-north-1.amazonaws.com/Medical+supplies-Medbay+supplies-bandages-2kpl+pillow.png;;;;;;;;;;;;;;;;;;;;
911;Ikea-pˆyd‰njalkoja;8kpl sciencelab pˆytien jalkoja (puuttuu kiinnikkeet);;Etuvarastossa;https://schoolphotosbucket.s3.eu-north-1.amazonaws.com/8kpl+sciencelab+po%CC%88ytien+jalkoja+(puuttuu+kiinnikkeet).png;;;;;;;;;;;;;;;;;;;;
912;Tyˆkalupakki, siniharmaa;Mostly empty, sis‰lt‰‰ nippusiteit‰;;Varastohyllyt, sis‰‰nk‰ynnin puolella;https://schoolphotosbucket.s3.eu-north-1.amazonaws.com/Tyo%CC%88kalupakki%2C+siniharmaa-Mostly+empty%2C+sisa%CC%88lta%CC%88a%CC%88+nippusiteita%CC%88.png;;;;;;;;;;;;;;;;;;;;
913;Tyˆkalupakki, vihre‰;Tyhj‰;;Varastohyllyt, sis‰‰nk‰ynnin puolella;https://schoolphotosbucket.s3.eu-north-1.amazonaws.com/Tyo%CC%88kalupakki%2C+vihrea%CC%88-Tyhja%CC%88.png;;;;;;;;;;;;;;;;;;;;
914;Kyp‰ri‰;4kpl kyp‰ri‰ insignialla;;Varastohyllyt, sis‰‰nk‰ynnin puolella;https://schoolphotosbucket.s3.eu-north-1.amazonaws.com/Kypa%CC%88ria%CC%88-4kpl+kypa%CC%88ria%CC%88+insignialla.png;;;;;;;;;;;;;;;;;;;;
915;Rakennustarpeita;6kpl puristimia, ruuvipakki;;Varastohyllyt, sis‰‰nk‰ynnin puolella;https://schoolphotosbucket.s3.eu-north-1.amazonaws.com/Rakennustarpeita-6kpl+puristimia%2C+ruuvipakki.png;;;;;;;;;;;;;;;;;;;;
916;Rakennustarpeita;Metallisia M-liitinpaloja, 100kpl laatikko;;Varastohyllyt, sis‰‰nk‰ynnin puolella;https://schoolphotosbucket.s3.eu-north-1.amazonaws.com/Rakennustarpeita-Metallisia+M-liitinpaloja%2C+100kpl+laatikko.png;;;;;;;;;;;;;;;;;;;;
917;Huopia;17kpl ikea-huopia;IKEA-s‰kki;Varastohyllyt, sis‰‰nk‰ynnin puolella;https://schoolphotosbucket.s3.eu-north-1.amazonaws.com/Huopia+-+17kpl+ikea-huopia.png;;;;;;;;;;;;;;;;;;;;
918;Kertiksi‰;Kertak‰yttˆastioit;Muovipussi;Varastohyllyt, sis‰‰nk‰ynnin puolella;https://schoolphotosbucket.s3.eu-north-1.amazonaws.com/Kertiksia%CC%88+-+Kertaka%CC%88ytto%CC%88astioit.png;;;;;;;;;;;;;;;;;;;;
919;Askartelutarpeita;Spray-maaleja ja liimoja;Punainen laatikko;Varastohyllyt, sis‰‰nk‰ynnin puolella;https://schoolphotosbucket.s3.eu-north-1.amazonaws.com/Askartelutarpeita-Spray-maaleja+ja+liimoja.png;;;;;;;;;;;;;;;;;;;;
920;Skumppalasit;30ish kpl skumppalaseja;ruskea kori;Varastohyllyt, sis‰‰nk‰ynnin puolella;https://schoolphotosbucket.s3.eu-north-1.amazonaws.com/Skumppalasit-30ish+kpl+skumppalaseja.png;;;;;;;;;;;;;;;;;;;;
921;Tuuletin;Iso lattiatuuletin;;Etuvarastossa edess‰ keskell‰;https://schoolphotosbucket.s3.eu-north-1.amazonaws.com/Tuuletin-Iso+lattiatuuletin.png;;;;;;;;;;;;;;;;;;;;
922;Science-salkku;Salkku, proppi. Sis‰lt‰‰ koeputkia;;Varastohyllyt, sis‰‰nk‰ynnin puolella;https://schoolphotosbucket.s3.eu-north-1.amazonaws.com/Science-salkku-Salkku%2C+proppi.+Sisa%CC%88lta%CC%88a%CC%88+koeputkia.png;;;;;;;;;;;;;;;;;;;;
923;Maitoj‰‰kaappi;Kylm‰laatikko, koneistettu;;Takavaraston per‰ll‰;https://schoolphotosbucket.s3.eu-north-1.amazonaws.com/Maitoja%CC%88a%CC%88kaappi-Kylma%CC%88laatikko%2C+koneistettu.png;;;;;;;;;;;;;;;;;;;;
924;Muuttohanskat;S‰killinen muutto- ja suojahanskoja;;Takavaraston per‰ll‰;https://schoolphotosbucket.s3.eu-north-1.amazonaws.com/Muuttohanskat.png;;;;;;;;;;;;;;;;;;;;
925;Vaahtomuovipatjat;90x200 vaahtomuovipatjat;29 kpl;Takavaraston keskell‰;https://schoolphotosbucket.s3.eu-north-1.amazonaws.com/Vaahtomuovipatjat.png;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;NOTES ABOUT DATA;;;;;;;;;;;;;;;;;;;;;;;
;;We are going to do a cleanup of our initial inverntory. This means we want to have separate data columns for units, storage details, storage location and content details.;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
